Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,630601291,8090.294769875346,1986579,25.48680112620351,210510,6583588,84.46409533819697,6999,0.08979362063240297,425,
United States of America,Americas,96474411,29146.114,266104,80.393,0,1062721,321.061,2480,0.749,0
India,South-East Asia,44663968,3236.509,6819,0.494,1016,530514,38.443,53,0.004,3
France,Europe,35964696,55296.818,163698,251.691,0,153957,236.714,402,0.618,0
Germany,Europe,35932654,43205.573,181051,217.696,0,155012,186.387,94,0.113,0
Brazil,Americas,34868153,16403.956,31118,14.64,12661,688487,323.903,268,0.126,92
Republic of Korea,Western Pacific,26037020,50784.931,319768,623.704,55365,29531,57.6,251,0.49,52
The United Kingdom,Europe,23930041,35250.331,2127,3.133,0,194704,286.81,0,0,0
Italy,Europe,23642011,39640.21,38995,65.382,0,179436,300.858,87,0.146,0
Japan,Western Pacific,22877660,18088.473,377347,298.354,87410,47236,37.348,386,0.305,97
Russian Federation,Europe,21477926,14717.515,30408,20.837,0,390774,267.774,386,0.265,0
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13529643,28584.187,17875,37.765,0,115239,243.466,161,0.34,0
Viet Nam,Western Pacific,11507124,11821.751,3033,3.116,468,43166,44.346,2,0.002,0
Australia,Western Pacific,10364859,40646.691,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9720232,21506.949,1357,3.002,0,130003,287.644,12,0.027,0
China,Western Pacific,9233541,627.583,193013,13.119,27807,29037,1.974,458,0.031,79
Netherlands,Europe,8525378,48975.076,6223,35.749,0,22857,131.305,22,0.126,0
Iran (Islamic Republic of),Eastern Mediterranean,7558690,8999.196,770,0.917,97,144605,172.163,25,0.03,1
Mexico,Americas,7113429,5517.162,1805,1.4,0,330406,256.262,6,0.005,0
Indonesia,South-East Asia,6544201,2392.554,36591,13.378,6294,158989,58.126,252,0.092,37
Poland,Europe,6345188,16716.278,2784,7.334,0,118195,311.383,52,0.137,0
Colombia,Americas,6310332,12401.677,616,1.211,0,141850,278.777,13,0.026,0
Portugal,Europe,5524686,53659.041,0,0,0,25254,245.282,0,0,0
Austria,Europe,5472671,61483.335,24510,275.36,0,21049,236.477,21,0.236,0
